fiscal_year,main_revenue_indicator_en,main_revenue_indicator_kh,sub_revenue_indicator_en,sub_revenue_indicator_kh,budget_law_amount ,implement_amount , deficit_surplus ,comment
2024,Current Revenue,ចំណូលចរន្ត,,,28836477,25717812.2,-3118664.8,
2024,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,363126,334364,-28762,
2024,Capital Revenue,ចំណូលមូលធន,Grant financing,ហិរញ្ញប្បទានឥតសំណង,67650,60393.4,-7256.6,
2024,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,628727,1277229.3,648502.3,
2023,Current Revenue,ចំណូលចរន្ត,,,25564428,24641415,-923013,
2023,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,1144812,280414.5,-864397.5,
2023,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,1282508,1865064.2,582556.2,
2023,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,6173415,5866062,-307353,
2022,Current Revenue,ចំណូលចរន្ត,,,22157343,24860865.8,2703522.8,
2022,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,1305259,116031.7,-1189227.3,
2022,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,1268280,1717898.9,449618.9,
