fiscal_year,main_revenue_indicator_en,main_revenue_indicator_kh,sub_revenue_indicator_en,sub_revenue_indicator_kh,budget_law_amount,implement_amount,deficit_surplus,comment,yoy_growth_percent
2005,Current Revenue,ចំណូលចរន្ត,,,2282600.0,2473749.0,191149.0,,
2006,Current Revenue,ចំណូលចរន្ត,,,2740720.0,2881720.0,141000.0,,16.49
2007,Current Revenue,ចំណូលចរន្ត,,,3252173.0,4012105.0,759932.0,,39.23
2008,Current Revenue,ចំណូលចរន្ត,,,3886917.0,5213163.0,1326246.0,,29.94
2009,Current Revenue,ចំណូលចរន្ត,,,5086566.7,4898895.7,-187671.0,,-6.03
2010,Current Revenue,ចំណូលចរន្ត,,,5692772.9,5812516.3,119743.4,,18.65
2011,Current Revenue,ចំណូលចរន្ត,,,6499652.0,6370103.2,-129548.8,,9.59
2012,Current Revenue,ចំណូលចរន្ត,,,7300657.0,7892679.9,592022.9,,23.9
2013,Current Revenue,ចំណូលចរន្ត,,,8473778.3,8705605.7,231827.4,,10.3
2014,Current Revenue,ចំណូលចរន្ត,,,9712627.0,10829696.6,1117069.6,,24.4
2015,Current Revenue,ចំណូលចរន្ត,,,11014644.0,12245639.1,1230995.1,,13.07
2016,Current Revenue,ចំណូលចរន្ត,,,13407263.0,14277622.6,870359.6,,16.59
2017,Current Revenue,ចំណូលចរន្ត,,,15501469.0,16966686.5,1465217.5,,18.83
2018,Current Revenue,ចំណូលចរន្ត,,,17460006.0,20146736.0,2686730.0,,18.74
2019,Current Revenue,ចំណូលចរន្ត,,,19593111.0,25395021.9,5801910.9,,26.05
2020,Current Revenue,ចំណូលចរន្ត,,,23899324.0,21420989.1,-2478334.9,,-15.65
2021,Current Revenue,ចំណូលចរន្ត,,,19705983.0,20467086.0,761103.0,,-4.45
2022,Current Revenue,ចំណូលចរន្ត,,,22157343.0,24860865.8,2703522.8,,21.47
2023,Current Revenue,ចំណូលចរន្ត,,,25564428.0,24641415.0,-923013.0,,-0.88
2024,Current Revenue,ចំណូលចរន្ត,,,28836477.0,25717812.2,-3118664.8,,4.37
